MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,,,,,,,,,,
,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Eduardo,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial
PROP_0078,PARROQUIA NUESTRA SEÑORA DE LA VISITACION,Paez 2864,Ver en mapa,CABA,-34.622031,-58.472839,Paez 2866 | Paez 2881 | Paez 2871,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U2
PROP_0079,Parroquia NTRA. SRA. DE LAS GRACIAS,Condor 2150,Ver en mapa,CABA,-34.657565,-58.429123,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0080,PARROQUIA NUESTRA SENORA DE LAS MERCEDES,Echeverria 1395,Ver en mapa,CABA,-34.556787,-58.445551,Echeverria 1349 | Echeverria 1365,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U9
PROP_0081,INST NTRA SRA DE LAS NIEVES,"Bosch, Ventura 6665",Ver en mapa,CABA,-34.642547,-58.520283,"Bosch, Ventura 6667 | Bosch, Ventura 6662 | Bosch, Ventura 6658",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0082,Parroquia NTRA. SRA. DE LAS VICTORIAS,Paraguay 1204,Ver en mapa,CABA,-34.598121,-58.384323,Paraguay 1216,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0083,PARROQUIA NUESTRA SENORA DE LORETO,"Diaz, Cnel. Av. y Juncal",Ver en mapa,CABA,-34.586545,-58.408322,"Diaz, Cnel. Av. 2222 | Diaz, Cnel. Av. 2210 | Diaz, Cnel. Av. 2276 | Juncal 3115 | Las Heras Gral. Av. 3115 | Las Heras Gral. Av. 3125 | Las Heras Gral. Av. 3117",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0084,Parroquia NTRA. SRA. DE LOS DOLORES,Diaz Velez Av. 4850,Ver en mapa,CABA,-34.608842,-58.435558,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0085,Parroquia NTRA. SRA. DE LOS REMEDIOS,"Bilbao, Francisco 4310",Ver en mapa,CABA,-34.649963,-58.479349,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0086,PARROQUIA NUESTRA SE#ORA DE LOURDES,"Freire, Ramon, Cap. Gral. 2602",Ver en mapa,CABA,-34.561973,-58.468458,"Freire, Ramon, Cap. Gral. 2490",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0087,PARROQUIA NTRA SRA DE LUJAN DE LOS PATRIOTAS,"Castro, Emilio Av. 7156",Ver en mapa,CABA,-34.653466,-58.518503,"Castro, Emilio Av. 7180",,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",Sin relevar
PROP_0088,Capilla LA INMACULADA (Pquia Madre de Dios),Sn - Barrio Cildañes,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0089,PARROQUIA NUESTRA SEÑORA DE LUJAN DEL BUEN VIAJE,Grecia 4328,Ver en mapa,CABA,-34.541069,-58.467381,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0090,INSTITUTO LUJAN PORTE#O,"Bilbao, Francisco Av. 3474",Ver en mapa,CABA,-34.641765,-58.469762,"Bilbao, Francisco Av. 3476",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0091,PQUIA NTRA SRA DE LUJAN CASTRENSE,Cabildo Av. 425,Ver en mapa,CABA,-34.57188,-58.440923,Cabildo Av. 421,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0092,PARROQUIA NUESTRA SEÑORA DE MONTSERRAT,Belgrano Av. 1152,Ver en mapa,,,,Belgrano Av. 1151 | Belgrano Av. 1154 | Belgrano Av. 1156,,,✅,✅,✅,✅,✅,"Relevamiento, Templos, Eduardo, Alquileres, Entes dependientes","Parroquia y anexos, en Juicio",U9
PROP_0093,COLEGIO E INSTITUTO JUAN BAUTISTA BERTHIER,Cardoso 238,Ver en mapa,CABA,-34.633842,-58.492757,"Cardoso 242 | Bacacay 4747 | Bacacay y Bermudez | Bacacay 4727 | Bacacay 4723 | Bacacay 4750 | Tapalque 5163 | Cardoso 240 | Pacheco De Melo, Jose Andres 3048",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes","Escuela, No AZB",U1
PROP_0094,Parroquia NTRA. SRA. DEL CARMELO,"Alvear, Marcelo T. De 2465",Ver en mapa,CABA,-34.595945,-58.402443,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
