MAPA ->,GCBA | Propiedades por categoría de uso,,,,,,,,,,,,,,,,
,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,
PROP_0013,Iglesia SANTA FELICITAS,Isabel La Catolica y Pinzon,📍maps,CABA,-34.63703,-58.373693,Isabel La Catolica 520,✅,,✅,,✅,,,"Índice GCBA, Templos, Eduardo",Parroquia y anexos,U1-U3/Sin relevar
PROP_0014,Iglesia SANTA FRANCISCA ROMANA,San Martin Av. 5555,📍maps,CABA,-34.59691,-58.495275,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0015,Iglesia SANTA MARIA MAZARELLO,"Garay, Juan De Av. 4353",📍maps,CABA,-34.63222,-58.424893,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0016,Iglesia SANTA TERESA de JESUS,Potosi 4049,📍maps,CABA,-34.607219,-58.423912,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0017,Iglesia SANTA TERESA de JESUS,Tucuman 3029,📍maps,CABA,-34.601,-58.408119,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0018,Iglesia SANTA TERESA del NIÑO JESUS,Ezeiza 3054,📍maps,CABA,-34.577797,-58.512527,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0019,PARROQUIA SAN BENITO ABAD,Villanueva 933,📍maps,CABA,-34.568516,-58.438833,Villanueva 905 | Villanueva 955,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0020,Iglesia SANTOS MARTIRES COREANOS,Thorne 1279,📍maps,CABA,-34.637966,-58.446673,Thorne 1281 | Thorne 1277 | Thorne 1261 | Thorne 1269,✅,,✅,,✅,,,"Índice GCBA, Templos, Eduardo",Parroquia y anexos,U1-U3/Sin relevar
PROP_0021,Iglesia SEÑOR de la BUENA ESPERANZA,"Vallese, Felipe 2539",📍maps,CABA,-34.62164,-58.468057,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0022,Parroquia ASUNCION DE LA SANTISIMA VIRGEN,Gaona Av. 2194,📍maps,CABA,-34.613553,-58.458377,Gaona Av. 2798 | Gaona Av. 2198,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0023,PARROQUIA SAN NICOLAS DE BARI,Santa Fe Av. 1352,📍maps,CABA,-34.595791,-58.386535,Santa Fe Av. 1354 | Santa Fe Av. 1370,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0024,PARROQUIA BUEN PASTOR I. C.,"Aranguren, Juan F., Dr. 693",📍maps,CABA,-34.614335,-58.442114,"Aranguren, Juan F., Dr. 701 | Aranguren, Juan F., Dr. 691",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0025,PARROQUIA CORAZON DE JESUS,"Paz, Gral. Av. 5316",📍maps,CABA,-34.575127,-58.511432,"Paz, Gral. Av. 5370 | Paz, Gral. Av. 5306 | Paz, Gral. Av. 5310",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0026,PARROQUIA CORPUS DOMINI,Albariño 256,📍maps,CABA,-34.641029,-58.508466,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0027,PARROQUIA CRISTO MAESTRO,Mercedes 1630,📍maps,CABA,-34.619719,-58.494724,Mercedes 1632,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0028,Parroquia CRISTO OBRERO,Sn - Villa 31,📍maps,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0029,INSTITUTO CRISTO OBRERO A 353,Lafuente 3242,📍maps,CABA,-34.663096,-58.438262,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela, Cedidos a terceros",U5
PROP_0030,PARROQUIA CRISTO REY,Larsen 2384,📍maps,CABA,-34.57543,-58.502598,Larsen 2378 | Larsen 2380 | Zamudio 5551 | Larsen 2386 | Zamudio 5501 | Zamudio 5541,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0031,PARROQUIA DULCISIMO NOMBRE DE JESUS,Valdenegro 3621,📍maps,CABA,-34.559433,-58.491737,Valdenegro 3611,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U7
PROP_0032,PARROQUIA ENCARNACION DEL SEÑOR,"Rodriguez, Manuel A., Gral. 2442",📍maps,CABA,-34.598201,-58.458878,"Rodriguez, Manuel A., Gral. 2444",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0033,INSTITUTO EDUCACIONAL CEFERINO NAMUNCURA,Pacheco 2059,📍maps,CABA,-34.576126,-58.481124,Pacheco 2069,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U1
PROP_0034,BASILICA SANTA ROSA DE LIMA,Pasco 446,📍maps,CABA,-34.614736,-58.397258,Belgrano Av. 2208 | Belgrano Av. 2220 | Pasco 409 | Pasco 431 | Republica Bolivariana De Venezuela 2201 | Belgrano Av. 2216 | Pasco 448,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0035,Parroquia IGLESIA CATEDRAL METROPOLITANA,San Martin 11,📍maps,CABA,-34.607727,-58.373553,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0036,PARROQUIA INMACULADA CONCEPCION,"Obligado Rafael, Av.Costanera 2030",📍maps,CABA,,,Vuelta De Obligado 2042,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0037,PARROQUIA INMACULADA CONCEPCION,Independencia Av. 910,📍maps,CABA,-34.617653,-58.379107,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0038,COMISION PARA LAS PERSONAS CON DISCAPACIDAD,"Cubas, Jose 3599",📍maps,CABA,-34.594272,-58.509419,,,,✅,,,,✅,"Templos, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0039,Parroquia INMACULADA VIRGEN DE FATIMA,"Cantilo, Jose Luis 5656",📍maps,CABA,-34.615871,-58.530183,,✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Eduardo",Parroquia y anexos,U1
PROP_0040,Parroquia INMACULADO CORAZON DE MARIA,Constitucion 1077,📍maps,CABA,-34.624589,-58.381139,,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0041,PARROQUIA JESUS DE LA BUENA ESPERANZA,"Cabezon, Jose Leon 3348",📍maps,CABA,-34.586496,-58.510907,"Cabezon, Jose Leon 3350 | Cabezon, Jose Leon 3358",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0042,Parroquia JESUS DE NAZARET,La Plata Av. 2258,📍maps,CABA,-34.640909,-58.423203,La Plata Av. 2260 | La Plata Av. 2264,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0043,PARROQUIA JESUS MISERICORDIOSO,"Rivera, Pedro I., Dr. 4591",📍maps,CABA,-34.569112,-58.48246,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0044,PARROQUIA JESUS SALVADOR,Soldado De La Frontera Av. 5184,📍maps,CABA,-34.684909,-58.463784,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0045,Basílica SANTISIMO ROSARIO,Defensa 422,📍maps,CABA,-34.613072,-58.371855,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0046,INSTITUTO JOSEFA CAPDEVILA DE GUTIERREZ,Arroyo 909,📍maps,CABA,-34.591439,-58.380464,Arroyo 941 | Arroyo 931 | Arroyo 917,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes","Escuela, Parroquia y anexos",U1-U3/Sin relevar
PROP_0047,PARROQUIA MADRE DE DIOS,Escalada Av. 2350,📍maps,CABA,-34.659614,-58.476459,Escalada Av. 2362,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0048,Parroquia MARIA MADRE DE LA ESPERANZA,Miralla 3838,📍maps,CABA,-34.673238,-58.468844,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0049,Parroquia MARIA MADRE DE LA IGLESIA,"Goyena, Pedro Av. 1626",📍maps,CABA,-34.628317,-58.450881,"Goyena, Pedro Av. 1628",,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0050,PARROQUIA MARIA MADRE DEL REDENTOR,Mexico 2751,📍maps,CABA,-34.617251,-58.404946,Mexico 2755 | Mexico 2749 | Mexico 2745,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0051,PARROQUIA MARIA REINA,Ceretti 2622,📍maps,CABA,-34.576255,-58.494667,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0052,PARROQUIA NATIVIDAD DE MARIA SANTISIMA,San Antonio 555,📍maps,CABA,-34.648731,-58.378403,,,,✅,,,,✅,"Templos, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0053,PARROQUIA NAVIDAD DEL SEÑOR,"Arenal, Concepcion 3545",📍maps,CABA,-34.58431,-58.44676,Charlone 145 | Charlone 147,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0054,INSTITUTO PARROQUIAL CANONIGO HONORARIO MARIO F ALSINA,Murguiondo 4055,📍maps,CABA,-34.675784,-58.477272,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U5
PROP_0055,Parroquia NTRA. SRA. DE BALVANERA,"Mitre, Bartolome 2411",📍maps,CABA,-34.60853,-58.400792,"Mitre, Bartolome 2431",,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0056,Basílica SANTISIMO SACRAMENTO,San Martin 1049,📍maps,CABA,-34.595482,-58.374329,San Martin 1039 | San Martin 1029 | San Martin 1083,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U7
PROP_0057,PARROQUIA NUESTRA SEÑORA DE BELEN,Burela 3243,📍maps,CABA,-34.57028,-58.497814,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0058,Basílica NTRA. SRA. DE BUENOS AIRES,Gaona Av. 1730,📍maps,CABA,-34.610938,-58.452559,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0059,PARROQUIA NTRA SRA DE CAACUPE,Rivadavia Av. 4879,📍maps,CABA,-34.616862,-58.433428,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0060,PARROQUIA NUESTRA SEÑORA DE CHEZTOCHOWA I. C.,Entre Rios Av. 1941,📍maps,CABA,-34.63098,-58.390841,Entre Rios Av. 1951 | Combate De Los Pozos 1942 | Combate De Los Pozos 1952,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0061,PARROQUIA NUESTRA SEÑORA DE FATIMA,Roosevelt Franklin D. 2066,📍maps,CABA,-34.555567,-58.457528,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0062,PARROQUIA NTRA. SRA. DE FATIMA,"Acosta, Mariano 2979",📍maps,CABA,-34.66063,-58.448803,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0063,PARROQUIA NUESTRA  SEÑORA DE ITATI,Diaz Velez Av. 4019,📍maps,CABA,-34.608519,-58.423362,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0064,PARROQUIA NUESTRA SEÑORA DE LA ANUNCIACION,Altolaguirre 2041,📍maps,CABA,-34.580636,-58.487897,Altolaguirre 2043,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Escuela,U1
PROP_0065,INSTITUTO LA CANDELARIA,Bahia Blanca 363,📍maps,CABA,-34.629723,-58.482001,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U3
PROP_0066,Capilla BEATO JUAN XXIII (Pquia Santa Francisca Cabrini),Tandil 2551,📍maps,CABA,-34.635086,-58.462382,,✅,,✅,✅,✅,✅,,"Índice GCBA, Relevamiento, Templos, Eduardo, Alquileres",Parroquia y anexos,U1
PROP_0067,Parroquia NTRA. SRA. DE LA CONSOLACION,"Scalabrini Ortiz, Raul Av. 1073",📍maps,CABA,-34.594661,-58.430454,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0068,Parroquia NTRA. SRA. DE LA DIVINA PROVIDENCIA,Traful 3535,📍maps,CABA,-34.650602,-58.41063,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0069,PARROQUIA NTRA. SRA. DE LA ESPERANZA,"Paine, Aime 1698",📍maps,CABA,-34.617253,-58.360871,"Paine, Aime 1680",,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0070,Parroquia NTRA. SRA. DE LA MEDALLA MILAGROSA,Curapaligue Av. 1185,📍maps,CABA,-34.636489,-58.446031,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0071,PARROQUIA NUESTRA SRA DE LA MERCED,Reconquista 207,📍maps,CABA,-34.605044,-58.372322,Reconquista 209,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0072,INSTITUTO NTRA SRA DE LA MISERICORDIA,Larrazabal 2372,📍maps,CABA,-34.661394,-58.491187,"Larrazabal 2394 | Larrazabal 2390 | Laferrere, Gregorio De 5865",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U9
PROP_0073,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA PAZ,Pergamino 69,📍maps,CABA,-34.632924,-58.474263,Pergamino 37 | Pergamino 45 | Pergamino 47 | Pergamino 53 | Pergamino 63,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0074,PARROQUIA NUESTRA SEÑORA DE LA PIEDAD,"Mitre, Bartolome 1534",📍maps,CABA,-34.607762,-58.388071,"Mitre, Bartolome 1524",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0075,PARROQUIA NUESTRA SEÑORA DE LA RABIDA,"Saenz Peña, Luis, Pres. 427",📍maps,CABA,-34.613806,-58.387561,"Saenz Peña, Luis, Pres. 441 | Belgrano Av. 1502",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0076,PARROQUIA NUESTRA SEÑORA DE LA SALUD,"Sastre, Marcos y Bruselas",📍maps,CABA,-34.625598,-58.523727,"Sastre, Marcos 6115",,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0077,Capilla JESÚS VIVE (Pquia Caacupé),Zavaleta y Santo Domingo,📍maps,CABA,-34.654384,-58.399987,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0078,PARROQUIA NUESTRA SEÑORA DE LA VISITACION,Paez 2864,📍maps,CABA,-34.622031,-58.472839,Paez 2866 | Paez 2881 | Paez 2871,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U2
PROP_0079,Parroquia NTRA. SRA. DE LAS GRACIAS,Condor 2150,📍maps,CABA,-34.657565,-58.429123,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0080,PARROQUIA NUESTRA SENORA DE LAS MERCEDES,Echeverria 1395,📍maps,CABA,-34.556787,-58.445551,Echeverria 1349 | Echeverria 1365,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U9
PROP_0081,INST NTRA SRA DE LAS NIEVES,"Bosch, Ventura 6665",📍maps,CABA,-34.642547,-58.520283,"Bosch, Ventura 6667 | Bosch, Ventura 6662 | Bosch, Ventura 6658",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0082,Parroquia NTRA. SRA. DE LAS VICTORIAS,Paraguay 1204,📍maps,CABA,-34.598121,-58.384323,Paraguay 1216,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0083,PARROQUIA NUESTRA SENORA DE LORETO,"Diaz, Cnel. Av. y Juncal",📍maps,CABA,-34.586545,-58.408322,"Diaz, Cnel. Av. 2222 | Diaz, Cnel. Av. 2210 | Diaz, Cnel. Av. 2276 | Juncal 3115 | Las Heras Gral. Av. 3115 | Las Heras Gral. Av. 3125 | Las Heras Gral. Av. 3117",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0084,Parroquia NTRA. SRA. DE LOS DOLORES,Diaz Velez Av. 4850,📍maps,CABA,-34.608842,-58.435558,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0085,Parroquia NTRA. SRA. DE LOS REMEDIOS,"Bilbao, Francisco 4310",📍maps,CABA,-34.649963,-58.479349,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0086,PARROQUIA NUESTRA SE#ORA DE LOURDES,"Freire, Ramon, Cap. Gral. 2602",📍maps,CABA,-34.561973,-58.468458,"Freire, Ramon, Cap. Gral. 2490",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0087,PARROQUIA NTRA SRA DE LUJAN DE LOS PATRIOTAS,"Castro, Emilio Av. 7156",📍maps,CABA,-34.653466,-58.518503,"Castro, Emilio Av. 7180",,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",Sin relevar
PROP_0088,Capilla LA INMACULADA (Pquia Madre de Dios),Sn - Barrio Cildañes,📍maps,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0089,PARROQUIA NUESTRA SEÑORA DE LUJAN DEL BUEN VIAJE,Grecia 4328,📍maps,CABA,-34.541069,-58.467381,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0090,INSTITUTO LUJAN PORTE#O,"Bilbao, Francisco Av. 3474",📍maps,CABA,-34.641765,-58.469762,"Bilbao, Francisco Av. 3476",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0091,PQUIA NTRA SRA DE LUJAN CASTRENSE,Cabildo Av. 425,📍maps,CABA,-34.57188,-58.440923,Cabildo Av. 421,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0092,PARROQUIA NUESTRA SEÑORA DE MONTSERRAT,Belgrano Av. 1152,📍maps,,,,Belgrano Av. 1151 | Belgrano Av. 1154 | Belgrano Av. 1156,,,✅,✅,✅,✅,✅,"Relevamiento, Templos, Eduardo, Alquileres, Entes dependientes","Parroquia y anexos, en Juicio",U9
PROP_0093,COLEGIO E INSTITUTO JUAN BAUTISTA BERTHIER,Cardoso 238,📍maps,CABA,-34.633842,-58.492757,"Cardoso 242 | Bacacay 4747 | Bacacay y Bermudez | Bacacay 4727 | Bacacay 4723 | Bacacay 4750 | Tapalque 5163 | Cardoso 240 | Pacheco De Melo, Jose Andres 3048",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes","Escuela, No AZB",U1
PROP_0094,Parroquia NTRA. SRA. DEL CARMELO,"Alvear, Marcelo T. De 2465",📍maps,CABA,-34.595945,-58.402443,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0095,CONSEJO ARQUIDIOCESANO DE BUENOS AIRES DE LA ACCION CATOLICA,Cordoba Av. 1669,📍maps,CABA,-34.599458,-58.391189,"Cordoba Av. 1699 | Rodriguez Peña 811 | Rodriguez Peña 835 | Capdevila, Arturo 1678 | Capdevila, Arturo 1696 | Montevideo 858 | Montevideo 842 | Montevideo 850 | Montevideo 820 | Cordoba Av. 1601 | Montevideo 806 | Montevideo 814 | Cordoba Av. 1613 | Cordoba Av. 1619 | Montevideo 870 | Montevideo 874 | Cordoba Av. 1651 | Cordoba Av. 1657 | Cordoba Av. 1641 | Cordoba Av. 1649 | Cordoba Av. 1623 | Cordoba Av. 1629 | Cordoba Av. 1631 | Cordoba Av. 1637 | Paraguay 1660 | Paraguay 1676 | Rodriguez Peña 887 | Paraguay 1656 | Paraguay 1658 | Paraguay 1652 | Paraguay 1654 | Paraguay 1644 | Montevideo 890 | Montevideo 900 | Paraguay 1604 | Rodriguez Peña 841 | Rodriguez Peña 871 | Rodriguez Peña 879 | Rodriguez Peña 881 | Paraguay 1634 | Paraguay 1638 | Paraguay 1630 | Paraguay 1632 | Paraguay 1620 | Paraguay 1612 | Paraguay 1618 | Cordoba Av. 1723 | Cordoba Av. 1725 | Rodriguez Peña 830 | Rodriguez Peña 832 | Rodriguez Peña 840 | Montevideo 872 | Paraguay 1602 | Paraguay 1608 | Paraguay 1666 | Paraguay 1672 | Paraguay 1686 | Paraguay 1688 | Paraguay 1690 | Paraguay 1692 | Paraguay 1694 | Paraguay 1696 | Rodriguez Peña 802 | Cordoba Av. 1615 | Cordoba Av. 1673 | Cordoba Av. 1679 | Cordoba Av. 1683 | Cordoba Av. 1687 | Cordoba Av. 1691 | Cordoba Av. 1693 | Cordoba Av. 1633 | Cordoba Av. 1635 | Cordoba Av. 1639",✅,,✅,✅,✅,,✅,"Índice GCBA, Templos, Eduardo, Alquileres, Entes dependientes","Comerciales, en Juicio",U1-U3/Sin relevar
PROP_0096,PARROQUIA NTRA. SRA. DEL CARMEN,Triunvirato Av. 4940,📍maps,CABA,-34.572825,-58.488416,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0097,Parroquia NTRA. SRA. DEL CARMEN (F),"Peron, Eva Av. 6387",📍maps,CABA,-34.667123,-58.492833,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0098,Parroquia NTRA. SRA. DEL CARMEN (MG),Sn,📍maps,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0099,Capilla MARÍA AUXILIADORA (Pquia Santa María Madre del Pueblo),Villarino S/N,📍maps,CABA,,,Varela Av. 2706,,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0100,PARROQUIA NUESTRA SEÑORA DEL CONSUELO,"Alvarez, Donato, Tte. Gral. Av. 2042",📍maps,CABA,-34.603946,-58.464481,"Alvarez, Donato, Tte. Gral. Av. 2044 | Alvarez, Donato, Tte. Gral. Av. 2050",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
