MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,275,0,286,92,444,226,202,,,,
694,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Destinos,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial,Estado validación
PROP_0027,PARROQUIA CRISTO MAESTRO,Mercedes 1630,Ver en mapa,CABA,-34.619719,-58.494724,Mercedes 1632,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1,
PROP_0028,Parroquia CRISTO OBRERO,Sn - Villa 31,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0029,INSTITUTO CRISTO OBRERO A 353,Lafuente 3242,Ver en mapa,CABA,-34.663096,-58.438262,Condor y Lafuente,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0030,PARROQUIA CRISTO REY,Larsen 2384,Ver en mapa,CABA,-34.57543,-58.502598,Larsen 2378 | Larsen 2380 | Zamudio 5551 | Larsen 2386 | Zamudio 5501 | Zamudio 5541 | Cochrane 2371,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0031,PARROQUIA DULCISIMO NOMBRE DE JESUS,Valdenegro 3621,Ver en mapa,CABA,-34.559433,-58.491737,Valdenegro 3611,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0032,PARROQUIA ENCARNACION DEL SEÑOR,"Rodriguez, Manuel A., Gral. 2442",Ver en mapa,CABA,-34.598201,-58.458878,"Rodriguez, Manuel A., Gral. 2444",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0033,INSTITUTO EDUCACIONAL CEFERINO NAMUNCURA,Pacheco 2059,Ver en mapa,CABA,-34.576126,-58.481124,Pacheco 2069,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes","Parroquia y anexos, Escuela",U1,
PROP_0034,BASILICA SANTA ROSA DE LIMA,Pasco 446,Ver en mapa,CABA,-34.614736,-58.397258,Republica Bolivariana De Venezuela 2203 | Republica Bolivariana De Venezuela 2205 | Belgrano Av. 2208 | Belgrano Av. 2220 | Pasco 409 | Pasco 431 | Republica Bolivariana De Venezuela 2201 | Belgrano Av. 2216 | Pasco 448,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0035,Parroquia IGLESIA CATEDRAL METROPOLITANA,San Martin 11,Ver en mapa,CABA,-34.607727,-58.373553,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0036,PARROQUIA INMACULADA CONCEPCION,"Obligado Rafael, Av.Costanera 2030",Ver en mapa,CABA,,,Vuelta De Obligado 2042,,,✅,,✅,,✅,"Templos, Destinos, Entes dependientes",Parroquia y anexos,Sin relevar,
PROP_0037,PARROQUIA INMACULADA CONCEPCION,Tacuari 870,Ver en mapa,CABA,-34.618264,-58.378707,Independencia Av. 910,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0038,COMISION PARA LAS PERSONAS CON DISCAPACIDAD,"Cubas, Jose 3599",Ver en mapa,CABA,-34.594272,-58.509419,,,,✅,,,,✅,"Templos, Entes dependientes",Parroquia y anexos,Sin relevar,
PROP_0039,Parroquia INMACULADA VIRGEN DE FATIMA,"Cantilo, Jose Luis 5656",Ver en mapa,CABA,-34.615871,-58.530183,,✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Destinos",Parroquia y anexos,U1,
PROP_0040,Parroquia INMACULADO CORAZON DE MARIA,Constitucion 1077,Ver en mapa,CABA,-34.624589,-58.381139,,,,✅,,✅,✅,,"Relevamiento, Templos, Destinos",Parroquia y anexos,U5,
PROP_0041,PARROQUIA JESUS DE LA BUENA ESPERANZA,"Cabezon, Jose Leon 3348",Ver en mapa,CABA,-34.586496,-58.510907,"Cabezon, Jose Leon 3350 | Cabezon, Jose Leon 3358",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0042,Parroquia JESUS DE NAZARET,La Plata Av. 2258,Ver en mapa,CABA,-34.640909,-58.423203,"La Plata Av. 2260 | La Plata Av. 2264 | Pomar, Gregorio Tte. Cnel. S/N",,,✅,,✅,✅,,"Relevamiento, Templos, Destinos",Parroquia y anexos,U5,
