excel_row_id,hoja,direccion,destino,fecha,carpeta,obs,n_partida
497,Pcia. Bs. As. y Otras Pcias.,Glew Partido de Almirante Brown Pcia. Buenos Aires General Rodriguez . Título Nº 2; Manzana 32 Pcia. Buenos Aires,VENDIDA Funciona una granja para recuperación de adicciones,26/05/2010,468.0,"Circ: V; Sección U, Manzana 32; Parcela 2",
365,Letra M,Miller 2713/25/35/39 C.A.B.A.,Santuario Jesús Misericordioso,20/03/1972,470.0,,
484,Pcia. Bs. As. y Otras Pcias.,Valle Hermoso Pcia. Córdoba,Aparentemente se remató por una deuda de im- puestos en el año 2010. Eramos propietarios de una parte indivisa de un lote.,26/04/1973,494.0,,
476,Pcia. Bs. As. y Otras Pcias.,Don Bosco 313/51 San Isidro Pcia. Buenos Aires,"Solo queda una en Don Bosco 345 para el Obispado de San Isidro, el resto se vendió",,499.0,(Ver 296),
493,Pcia. Bs. As. y Otras Pcias.,Gral. Rodriguez Pcia. Buenos Aires,Parroquia Resurrección del Señor,28/12/1979,509.0,Lotes 2/3/10 y 11 Manzana 31 | Manzana 24 Parcelas 1-14 y 15,
362,Letra M,México 2745/49/51/55 C.A.B.A.,Parroquia María Madre del Redentor,02/06/1980,518.0,,
472,Pcia. Bs. As. y Otras Pcias.,La Cabaña y Carranza Castelar- Partido de Morón Pcia. Buenos Aires,Propiedad para la Comisión Arquidioce- sana de los jóvenes de la Acción Católica Argentina,30/12/1958,526.0,,
210,Letra D,"Díaz, Coronel C.A.B.A",Parroquia Nuestra Señora de Loreto,,534.0,,
478,Pcia. Bs. As. y Otras Pcias.,Sarmiento 3123 Caseros Pcia. Buenos Aires,Obras Misionales Pontificias VENDIDA,26/11/1982,538.0,Circ: 4; Sección Y; Manzana 8; Parcela 3;,
509,Letra R,Rivadavia 4879 C.A.B.A,Parroquia Nuestra Señora de Caacupé,25/03/1983,552.0,,
491,Pcia. Bs. As. y Otras Pcias.,Partido de Gral. Sarmiento Pcia. Buenos Aires,Son 20 parcelas en el Cementerio Jardín de Paz,18/09/1985,557.0,"20 Parcelas (1 al 20); Manzana 7; del sector Nuestra Señora del Buen Aire, de su Cementerio Privado",
494,Pcia. Bs. As. y Otras Pcias.,Partido de Esteban Echeverría Pcia. Buenos Aires,"Se desconoce el destino de los lotes, según se puede ver por el street view, y de acuerdo a información catastral, son lotes construídos.",,564.0,,
480,Pcia. Bs. As. y Otras Pcias.,Juan Díaz de Solís 13 Pcia. Buenos Aires,Parroquia Nuestra Señora del Carmen,,576.0,,
71,Letra A,Azul 59/61 C.A.B.A.,Caritas Nuestra Señora de La Paz,,594.0,,
110,Letra B,"Bonifacio, José 2475/85 C.A.B.A.",Escuela Parroquial de San José de Flores,03/04/1905,606.0,Circ: 5; Sección 48; Manzana 107; Parcela 25 A | (Actualmente están los Hnos. De La Salle),
390,Letra M,Montiel 3875/3881 C.A.B.A,Casa Parroquial Nuestra Señora del Rosario del Milagro,08/01/1996,614.0,Circ: 1; Sección 78; Manza- | na 29; Fracción A,
299,Letra K,"Korn, Alejandro 4218/33/51/81/83/85 C.A.B.A",Parroquia Cristo Maestro,20/02/1996,615.0,Circ: 15; Sección 79; Manzana 32 B; Parcela 23,
471,Pcia. Bs. As. y Otras Pcias.,Chacra El Angelus Pontevedra- Partido de Merlo Pcia. Buenos Aires,Es el campo de deportes del Instituto Nuestra Señora de Las Nieves,16/04/1998,623.0,,
467,Pcia. Bs. As. y Otras Pcias.,Paraje El Sosiego Camet. Partido de Gral Pueyrredón Pcia. Buenos Aires,Se vendieron dos lotes en el año 2017. Los que quedan son usufruc- tuados por la Diocesis de Mar del Plata,23/12/1987,630.0,Circ: 2 ; Sección J; Manzana 8; Parcela 8/9/10/11;,
469,Pcia. Bs. As. y Otras Pcias.,Campos La Margarita; San Miguel y El Hinojo Partido de Laprida Pcia. Buenos Aires,Se encuentran arrendados,,631.0,(Ver 369 ),
470,Pcia. Bs. As. y Otras Pcias.,Campo La Juanita Partido de Lobería Pcia. Buenos Aires,Se encuentra arrendado,,632.0,(Ver 369 y 100),
298,Letra J,Juramento 4859/61 C.A.B.A.,Colegio Ceferino Namuncurá,01/11/2001,644.0,Circ: 16 ; Sección 51; Manzana 63; Parcela 33A,
489,Pcia. Bs. As. y Otras Pcias.,Pontevedra Partido de Merlo Pcia. Buenos Aires,Vicaría de Educación - Parroquia Virgen de Las Nieves,18/12/1998,652.0,Circ: 3 ; Sección D; Chacra 112; Parcela 1/6/7,
145,Letra C,Castillo 650/54 C.A.B.A.,Para actividades parroquiales y residencia de Sacerdotes Parroquia Santa Clara de Asis,07/07/2004,662.0,Circ: 18; Sección 31; Manzana 54; Parcela 8,
481,Pcia. Bs. As. y Otras Pcias.,Pedanía Santa Rosa-Amboy. Villa Las Rompientes Departamento de Calamuchita Pcia. De Córdoba,Se desconoce el destino del inmueble,03/06/2002,674.0,,
412,Letra O,Olazábal 3871 C.A.B.A.,Instituto Hijas de Jesus,27/03/2008,689.0,Circ: 16; Sección 51; Manzana 126; Parcela 21,
632,Letra Z,Zuviría 2686/88 e/Culpina y Varela C.A.B.A.,Colegio Santa Clara de Asis,29/05/2014,728.0,Circ.1-Sección 50-Manzana 118-Parcela 20B,
